Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CRM,"Salesforce.com Inc",222.04,4.06,+1.86%,222.32,219.22,7301700,01/08/21
CSCO,"Cisco Systems Inc",45.06,0.1,+0.22%,45.41,44.25,20936199,01/08/21
CSX,"CSX Corp",95.84,1.81,+1.92%,96.27,93.86,4176800,01/08/21
CTAS,"Cintas Corp",350.15,-4.91,-1.38%,358.45,348.91,398400,01/08/21
CTLT,"Catalent Inc",112.49,3.92,+3.61%,112.77,109.36,1215400,01/08/21
CTSH,"Cognizant Tech Sol",81.95,1,+1.24%,82.06,80.96,2704600,01/08/21
CTVA,"Corteva Inc",43.25,1.45,+3.47%,43.33,42.17,4667500,01/08/21
CTXS,"Citrix Systems Inc",130.85,2.41,+1.88%,131.11,128.22,1039400,01/08/21
CVS,"CVS Corp",74.86,0.87,+1.18%,76.33,74.42,11254600,01/08/21
CVX,"Chevron Corp",91.08,0.86,+0.95%,92.43,90.45,11152100,01/08/21
CXO,"Concho Resources Inc",65.16,-0.010000000000005,-0.02%,66.33,64.5,1237100,01/08/21
D,"Dominion Resources",73.2,0.24000000000001,+0.33%,73.34,72.64,3476700,01/08/21
DAL,"Delta Air Lines Inc",40.02,-0.20999999999999,-0.52%,40.69,39.76,9497400,01/08/21
DD,"Du Pont De.Nemours Inc",81.79,0.91000000000001,+1.13%,82.92,80.46,14651700,01/08/21
DE,"Deere & Company",293.91,-5.82,-1.94%,300.48,290.39,1780900,01/08/21
DFS,"Discover Financial Services",97.11,-0.44,-0.45%,97.86,95.05,1865200,01/08/21
DG,"Dollar General Corp",215.81,-1.91,-0.88%,219,214.46,1859200,01/08/21
DGX,"Quest Diagnostics Inc",122.97,-0.97,-0.78%,124.48,120.28,1699600,01/08/21
DHI,"D.R. Horton",66.96,-1.73,-2.52%,69.71,66.55,3091700,01/08/21
DHR,"Danaher Corp",243.49,3.78,+1.58%,244.96,240.5,2297300,01/08/21
DIS,"Walt Disney Company",178.69,0.10999999999999,+0.06%,180.02,176.6,7894400,01/08/21
DISCA,"Discovery Comm A",34.63,0.23,+0.67%,34.68,33.37,11310500,01/08/21
DISCK,"Discovery Comm Inc",30.16,0.33,+1.12%,30.23,29.04,4372800,01/08/21
DISH,"Dish Network Corp",33.16,0.74,+2.28%,33.19,32.48,4344300,01/08/21
DLR,"Digital Realty Trust",133.6,-0.010000000000019,-0.01%,134.9,132.01,2341600,01/08/21
DLTR,"Dollar Tree Inc",112.97,-1.78,-1.55%,115.45,112.19,1928200,01/08/21
DOV,"Dover Corp",129.45,0,0.00%,130.41,127.55,549500,01/08/21
DOW,"Dow Inc",58.21,-0.3,-0.51%,58.86,57.75,4063500,01/08/21
DPZ,"Domino's Pizza Inc",388.83,5.64,+1.47%,388.94,381.19,491500,01/08/21
DRE,"Duke Realty Corp",38.75,0.38,+0.99%,39.12,38.33,1297800,01/08/21
DRI,"Darden Restaurants",124.35,0.39999999999999,+0.32%,126.22,123.19,1314100,01/08/21
DTE,"Dte Energy Company",118.19,-0.57000000000001,-0.48%,119.24,117.07,860900,01/08/21
DUK,"Duke Energy Corp",90.05,0.16,+0.18%,90.4,89.42,2752200,01/08/21
DVA,"Davita Healthcare Partners Inc",123.89,1.68,+1.37%,124.67,122.08,551100,01/08/21
DVN,"Devon Energy Corp",18.11,-0.46,-2.48%,18.85,17.92,13952000,01/08/21
